Input,Percentage
233,0.09866666666666667
670,0.08816666666666667
97,0.1155
223,0.10566666666666667
886,0.0985
882,0.1015
460,0.1035
574,0.08883333333333333
66,0.08866666666666667
797,0.0875
723,0.09983333333333333
322,0.094
423,0.09633333333333334
848,0.1
774,0.097
295,0.09166666666666666
354,0.1245
361,0.092
51,0.10083333333333333
254,0.10233333333333333
47,0.10733333333333334
62,0.10166666666666667
969,0.1
211,0.0885
518,0.0995
410,0.096
273,0.10033333333333333
230,0.09933333333333333
505,0.08816666666666667
704,0.08483333333333333
577,0.11016666666666666
475,0.11116666666666666
504,0.09966666666666667
378,0.1235
896,0.1015
593,0.10816666666666666
962,0.1165
50,0.11216666666666666
277,0.114
488,0.09166666666666666
659,0.0965
572,0.097
985,0.10833333333333334
661,0.0915
424,0.0945
927,0.095
698,0.09716666666666667
559,0.10466666666666667
746,0.09616666666666666
52,0.0965
304,0.09033333333333333
73,0.08966666666666667
311,0.1075
100,0.09183333333333334
318,0.10116666666666667
30,0.10683333333333334
261,0.09666666666666666
356,0.083
357,0.10816666666666666
905,0.09933333333333333
155,0.094
757,0.09483333333333334
324,0.10933333333333334
845,0.093
583,0.09866666666666667
394,0.10316666666666667
411,0.10433333333333333
923,0.0905
950,0.10483333333333333
366,0.103
902,0.0905
585,0.11916666666666667
305,0.103
987,0.10333333333333333
403,0.10333333333333333
167,0.09733333333333333
183,0.1215
586,0.10266666666666667
922,0.10083333333333333
632,0.11133333333333334
413,0.10466666666666667
666,0.09566666666666666
11,0.09033333333333333
671,0.09583333333333334
98,0.0915
766,0.08533333333333333
397,0.09133333333333334
960,0.10166666666666667
903,0.096
124,0.10166666666666667
69,0.098
540,0.09316666666666666
338,0.1025
921,0.09416666666666666
140,0.097
739,0.0905
12,0.10883333333333334
605,0.10483333333333333
564,0.08866666666666667
747,0.10283333333333333
538,0.09966666666666667
105,0.09566666666666666
900,0.09433333333333334
867,0.11583333333333333
624,0.10033333333333333
993,0.09233333333333334
452,0.09966666666666667
429,0.09516666666666666
462,0.08933333333333333
375,0.09016666666666667
154,0.09783333333333333
759,0.10483333333333333
325,0.10216666666666667
693,0.08233333333333333
849,0.11
680,0.105
658,0.11233333333333333
933,0.1065
594,0.11716666666666667
948,0.103
832,0.104
339,0.10866666666666666
317,0.09733333333333333
791,0.09133333333333334
427,0.09566666666666666
926,0.09316666666666666
805,0.09566666666666666
79,0.10216666666666667
5,0.08433333333333333
78,0.10116666666666667
126,0.092
369,0.09716666666666667
