Input,Percentage
233,0.07525
670,0.09
97,0.113375
223,0.105125
886,0.100625
882,0.110625
460,0.089625
574,0.0755
66,0.111875
797,0.10625
723,0.105875
322,0.110625
423,0.1085
848,0.074625
774,0.090875
295,0.102875
354,0.109375
361,0.10325
51,0.110375
254,0.089
47,0.087125
62,0.100875
969,0.11425
211,0.101375
518,0.11575
410,0.09825
273,0.091875
230,0.097375
505,0.11225
704,0.108125
577,0.1085
475,0.1115
504,0.089
378,0.085875
896,0.115875
593,0.101
962,0.102625
50,0.1055
277,0.0935
488,0.08625
659,0.101125
572,0.113125
985,0.107875
661,0.106625
424,0.10375
927,0.0915
698,0.082125
559,0.10575
746,0.10625
52,0.108125
304,0.11425
73,0.095125
311,0.0765
100,0.1
318,0.114375
30,0.109625
261,0.104875
356,0.107375
357,0.08225
905,0.09425
155,0.11175
757,0.09875
324,0.1035
845,0.104875
583,0.094875
394,0.07425
411,0.108375
923,0.103
950,0.110375
366,0.10575
902,0.109625
585,0.070625
305,0.0995
987,0.11
403,0.101
167,0.097375
183,0.109875
586,0.08575
922,0.085375
632,0.112875
413,0.103375
666,0.1135
11,0.1095
671,0.104625
98,0.08225
766,0.090125
397,0.10725
960,0.10725
903,0.110125
124,0.108875
69,0.084625
540,0.08025
338,0.115
921,0.1065
140,0.105625
739,0.107
12,0.098125
605,0.082875
564,0.09625
747,0.10725
538,0.104875
105,0.101125
900,0.09975
867,0.085
624,0.083125
993,0.0985
452,0.103125
429,0.099
462,0.103875
375,0.094
154,0.0835
759,0.098875
325,0.107375
693,0.10775
849,0.106375
680,0.104125
658,0.0835
933,0.08425
594,0.111875
948,0.1005
832,0.104125
339,0.10875
317,0.089375
791,0.073375
427,0.104875
926,0.10875
805,0.0995
79,0.1075
5,0.10125
78,0.08
126,0.08975
369,0.110375
1,0.099375
702,0.107375
891,0.109
187,0.0905
212,0.073375
602,0.109
309,0.116
729,0.103625
854,0.1045
984,0.10475
880,0.071125
445,0.09525
998,0.10775
931,0.104125
885,0.108375
141,0.112375
345,0.08125
67,0.07875
454,0.112125
287,0.108875
353,0.112125
456,0.102625
717,0.1
712,0.08175
979,0.098875
523,0.09925
677,0.10275
966,0.102
618,0.109
674,0.086625
207,0.083875
929,0.10475
526,0.108875
544,0.103875
197,0.106625
116,0.096875
956,0.083375
861,0.096375
396,0.106875
221,0.10225
28,0.104625
251,0.112125
264,0.084
732,0.08625
