Sequence Length,OPT,Splay,Transpose,2-in-a-Row
100000,294772,476911,368600,311374
200000,593923,955550,740238,628028
300000,888959,1428436,1103979,963870
400000,1185859,1901414,1474500,1289013
500000,1485342,2385005,1845414,1601918
600000,1774464,2852591,2204904,1919368
700000,2072981,3336039,2579552,2235353
800000,2377250,3820654,2960986,2563114
900000,2675309,4302218,3325867,2908312
1000000,2972686,4772296,3695062,3250934
