Sequence Length,Splay,Transpose,2-in-a-Row
100000,476911,57808,435
200000,955550,116205,878
300000,1428436,174191,1376
400000,1901414,230939,2286
500000,2385005,289895,2585
600000,2852591,347594,3189
700000,3336039,405914,3611
800000,3820654,464200,4523
900000,4302218,521669,4732
1000000,4772296,579471,5229
