Heuristic,Cost
Splay,1023652
Transpose,99688
2-in-a-Row,10219
Splay,2049596
Transpose,199350
2-in-a-Row,21061
Splay,3076516
Transpose,298999
2-in-a-Row,30289
Splay,4099214
Transpose,398618
2-in-a-Row,40162
Splay,5123575
Transpose,498311
2-in-a-Row,50522
Splay,6145490
Transpose,598119
2-in-a-Row,63684
Splay,7170143
Transpose,697719
2-in-a-Row,70569
Splay,8198408
Transpose,797522
2-in-a-Row,83341
Splay,9227191
Transpose,897187
2-in-a-Row,91900
Splay,10250619
Transpose,996730
2-in-a-Row,102247
