Sequence Length,OPT,Splay,Transpose,2-in-a-Row
100000,1078117,1023652,3258317,1137117
200000,1988643,2049596,7097258,2292454
300000,3477220,3076516,12512374,3393088
400000,5007981,4099214,14030290,4544920
500000,5384597,5123575,21216475,5662333
600000,6490153,6145490,20840393,6795022
700000,7820440,7170143,24731857,7978365
800000,8588838,8198408,26872933,9088620
900000,10514697,9227191,32526553,10236896
1000000,10765886,10250619,33610216,11386097
