Sequence Length,Splay,Transpose,2-in-a-Row
100000,99451,58296,81074
200000,201016,117410,162853
300000,302525,177146,245485
400000,401883,234986,326202
500000,497020,291586,403829
600000,601205,350761,485706
700000,702804,410566,569918
800000,801825,468531,648524
900000,898868,525526,728455
1000000,997295,584570,807652
