Sequence Length,Splay,Transpose,2-in-a-Row
100000,571332,98990,141357
200000,1141488,198093,284820
300000,1707701,297038,426025
400000,2286893,396203,570976
500000,2848810,495547,710918
600000,3416822,594148,856792
700000,3987261,693307,994839
800000,4555334,792528,1137303
900000,5135119,891462,1280042
1000000,5699093,990859,1421655
