Heuristic,Cost
Splay,99451
Transpose,58296
2-in-a-Row,81074
Splay,201016
Transpose,117410
2-in-a-Row,162853
Splay,302525
Transpose,177146
2-in-a-Row,245485
Splay,401883
Transpose,234986
2-in-a-Row,326202
Splay,497020
Transpose,291586
2-in-a-Row,403829
Splay,601205
Transpose,350761
2-in-a-Row,485706
Splay,702804
Transpose,410566
2-in-a-Row,569918
Splay,801825
Transpose,468531
2-in-a-Row,648524
Splay,898868
Transpose,525526
2-in-a-Row,728455
Splay,997295
Transpose,584570
2-in-a-Row,807652
