Input,Percentage
233,0.0028888888888888888
670,0.043555555555555556
97,0.023
223,0.10044444444444445
886,0.2673333333333333
882,0.0
460,0.06366666666666666
574,0.014222222222222223
66,0.095
797,0.3511111111111111
723,0.0
322,0.063
423,0.004666666666666667
848,0.2262222222222222
774,0.1952222222222222
295,0.015
354,0.049444444444444444
361,0.0
51,0.19933333333333333
254,0.22344444444444445
47,0.010333333333333333
62,0.049
969,0.0
211,0.3048888888888889
518,0.13177777777777777
410,0.028
273,0.036555555555555556
230,0.0
505,0.3048888888888889
704,0.11611111111111111
577,0.042555555555555555
475,0.029333333333333333
504,0.0
378,0.32322222222222224
896,0.11677777777777777
593,0.036
962,0.036555555555555556
50,0.06566666666666666
277,0.33611111111111114
488,1.1111111111111112E-4
659,0.069
572,0.023444444444444445
985,0.09388888888888888
661,0.25255555555555553
424,0.0
927,0.04122222222222222
698,0.017555555555555557
559,0.11766666666666667
746,0.347
52,0.0
304,0.06988888888888889
73,0.002
311,0.18
100,0.2838888888888889
318,0.00811111111111111
30,0.074
261,0.0
356,0.202
357,0.18577777777777776
905,0.009444444444444445
155,0.06688888888888889
757,0.0
324,0.289
845,0.16866666666666666
583,0.024888888888888887
394,0.03388888888888889
411,0.0
923,0.28744444444444445
950,0.0971111111111111
366,0.032
902,0.05388888888888889
585,0.0
305,0.32855555555555555
987,0.09766666666666667
403,0.027555555555555555
167,0.017666666666666667
183,0.006666666666666667
586,0.3561111111111111
922,0.020444444444444446
632,0.04477777777777778
413,0.018555555555555554
666,0.11422222222222222
11,0.32755555555555554
671,0.0
98,0.06144444444444445
766,0.014222222222222223
397,0.10822222222222222
960,0.3278888888888889
903,0.0
124,0.036444444444444446
69,0.01
540,0.16011111111111112
338,0.273
921,0.006888888888888889
140,0.08533333333333333
739,0.0
12,0.17855555555555555
605,0.2361111111111111
564,0.021444444444444443
747,0.035666666666666666
538,0.0
105,0.2101111111111111
900,0.19355555555555556
867,0.018111111111111113
624,0.04888888888888889
993,0.0
452,0.3406666666666667
429,0.099
462,0.03233333333333333
375,0.030444444444444444
154,0.0
759,0.33466666666666667
325,0.11988888888888889
693,0.03877777777777778
849,0.04488888888888889
680,0.0
658,0.3433333333333333
933,0.04555555555555556
594,0.03244444444444444
948,0.01588888888888889
832,0.11011111111111112
339,0.3401111111111111
317,0.0
791,0.04622222222222222
427,0.01711111111111111
926,0.10944444444444444
805,0.31922222222222224
79,0.0
5,0.08433333333333333
78,0.011555555555555555
126,0.18222222222222223
369,0.24166666666666667
1,0.009666666666666667
702,0.051111111111111114
891,0.0
187,0.20644444444444446
212,0.2051111111111111
602,0.028777777777777777
309,0.07644444444444444
729,0.0
854,0.21155555555555555
984,0.22011111111111112
880,0.01711111111111111
445,0.06
998,0.0
931,0.3158888888888889
885,0.09877777777777778
141,0.025444444444444443
345,0.04033333333333333
67,0.0
454,0.30677777777777776
287,0.11488888888888889
353,0.036
456,0.020888888888888887
717,0.0
712,0.3748888888888889
979,0.041666666666666664
523,0.026444444444444444
677,0.021111111111111112
966,0.04888888888888889
618,0.33266666666666667
674,0.0
207,0.04777777777777778
929,0.017222222222222222
526,0.13233333333333333
544,0.3071111111111111
197,0.0
116,0.05977777777777778
956,0.011555555555555555
861,0.16044444444444445
396,0.28844444444444445
221,0.0
28,0.08122222222222222
251,1.1111111111111112E-4
264,0.2222222222222222
732,0.21433333333333332
775,0.012333333333333333
983,0.043222222222222224
692,0.0
125,0.23144444444444445
71,0.24355555555555555
823,0.016666666666666666
965,0.06588888888888889
