Input,Percentage
233,6.25E-4
670,0.037
97,0.022125
223,0.135
886,0.30825
882,0.0
460,0.05325
574,0.012
66,0.096875
797,0.31975
723,0.0
322,0.046375
423,0.005375
848,0.193125
774,0.22
295,0.009875
354,0.05525
361,0.0
51,0.2425
254,0.267625
47,0.0175
62,0.050125
969,0.0
211,0.24125
518,0.16125
410,0.025125
273,0.03475
230,0.0
505,0.3005
704,0.08525
577,0.071125
475,0.023
504,0.0
378,0.324875
896,0.11075
593,0.0405
962,0.050625
50,0.054875
277,0.453375
488,0.0
659,0.04275
572,0.01575
985,0.1145
661,0.338
424,0.0
927,0.02375
698,0.01525
559,0.10525
746,0.366375
52,0.0
304,0.05975
73,0.008625
311,0.163875
100,0.20625
318,0.003625
30,0.052875
261,0.0
356,0.217375
357,0.197625
905,0.016875
155,0.04375
757,0.0
324,0.276625
845,0.1295
583,0.02775
394,0.03775
411,0.0
923,0.30475
950,0.12475
366,0.025375
902,0.033
585,0.0
305,0.32975
987,0.08275
403,0.034875
167,0.0395
183,0.003625
586,0.34875
922,0.016
632,0.034125
413,0.022625
666,0.124125
11,0.3025
671,0.0
98,0.064875
766,0.011
397,0.111
960,0.318875
903,0.0
124,0.052
69,0.012
540,0.1515
338,0.2605
921,0.0125
140,0.044
739,0.0
12,0.19525
605,0.199125
564,0.024125
747,0.047375
538,0.0
105,0.228375
900,0.226625
867,0.0155
624,0.03575
993,0.0
452,0.30575
429,0.111875
462,0.019875
375,0.033375
154,0.0
759,0.305875
325,0.088125
693,0.034625
849,0.03425
680,0.0
658,0.43625
933,0.056625
594,0.0465
948,0.013375
832,0.10325
339,0.33
317,0.0
791,0.039
427,0.006375
926,0.1245
805,0.328375
79,0.0
5,0.064125
78,0.01525
126,0.165125
369,0.252375
1,0.0015
702,0.056125
891,0.001125
187,0.220375
212,0.238125
602,0.031625
309,0.040875
729,0.0
854,0.2245
984,0.257625
880,0.019
445,0.0495
998,0.0
931,0.287875
885,0.119875
141,0.0295
345,0.044375
67,0.0
454,0.339
