Input,Percentage
233,0.0016666666666666668
670,0.0495
97,0.013
223,0.09083333333333334
886,0.2931666666666667
882,0.0
460,0.047
574,0.013166666666666667
66,0.10283333333333333
797,0.31883333333333336
723,0.0
322,0.05583333333333333
423,0.0075
848,0.19283333333333333
774,0.21416666666666667
295,0.011
354,0.029666666666666668
361,0.0
51,0.1845
254,0.19366666666666665
47,0.0025
62,0.0425
969,0.0
211,0.25133333333333335
518,0.17533333333333334
410,0.014666666666666666
273,0.051333333333333335
230,0.0
505,0.3135
704,0.08
577,0.027833333333333335
475,0.0235
504,0.0
378,0.3471666666666667
896,0.11416666666666667
593,0.046
962,0.034166666666666665
50,0.06416666666666666
277,0.4191666666666667
488,0.0
659,0.033666666666666664
572,0.008833333333333334
985,0.1195
661,0.339
424,0.0
927,0.05266666666666667
698,0.019
559,0.12316666666666666
746,0.3396666666666667
52,0.0
304,0.08683333333333333
73,0.0028333333333333335
311,0.1815
100,0.20633333333333334
318,0.005333333333333333
30,0.0635
261,0.0
356,0.201
357,0.23383333333333334
905,0.007333333333333333
155,0.025333333333333333
757,0.0
324,0.23533333333333334
845,0.14
583,0.0305
394,0.060833333333333336
411,0.0
923,0.31083333333333335
950,0.069
366,0.021
902,0.028
585,0.0
305,0.35533333333333333
987,0.133
403,0.028833333333333332
167,0.024166666666666666
183,0.0026666666666666666
586,0.3765
922,0.025
632,0.025166666666666667
413,0.0145
666,0.1135
11,0.3248333333333333
671,0.0
98,0.0335
766,0.010833333333333334
397,0.116
960,0.29433333333333334
903,0.0
124,0.041
69,0.007
540,0.13483333333333333
338,0.30633333333333335
921,0.0105
140,0.0325
739,0.0
12,0.17933333333333334
605,0.17866666666666667
564,0.0165
747,0.035333333333333335
538,0.0
105,0.23066666666666666
900,0.20566666666666666
867,0.013333333333333334
624,0.04083333333333333
993,0.0
452,0.31333333333333335
429,0.1275
462,0.044833333333333336
375,0.021666666666666667
154,0.0
759,0.3636666666666667
325,0.105
693,0.025333333333333333
849,0.0315
680,0.0
658,0.398
933,0.072
594,0.04733333333333333
948,0.015166666666666667
832,0.076
339,0.37083333333333335
317,0.0
791,0.052833333333333336
427,0.015166666666666667
926,0.07366666666666667
805,0.3065
79,0.0
5,0.043166666666666666
78,0.011666666666666667
126,0.14733333333333334
369,0.2628333333333333
1,0.003833333333333333
702,0.0445
891,0.0
187,0.233
212,0.24333333333333335
602,0.001
309,0.06066666666666667
729,0.0
854,0.18716666666666668
984,0.2145
880,0.011833333333333333
445,0.041666666666666664
998,0.0
931,0.349
885,0.12616666666666668
141,0.024333333333333332
345,0.03866666666666667
67,0.0
454,0.292
287,0.10733333333333334
353,0.039
456,0.0515
717,0.0
712,0.36383333333333334
979,0.03166666666666667
523,0.0375
677,0.018666666666666668
966,0.051833333333333335
618,0.3983333333333333
674,0.0
207,0.06
929,0.016833333333333332
526,0.088
544,0.3165
197,0.0
116,0.039
956,0.027333333333333334
861,0.14716666666666667
396,0.2906666666666667
221,0.0
28,0.06433333333333334
251,5.0E-4
264,0.19683333333333333
732,0.17816666666666667
775,0.015833333333333335
983,0.059833333333333336
692,0.0
125,0.195
71,0.20933333333333334
823,0.016
965,0.0625
168,0.0
788,0.2605
288,0.15
